選手名,チーム,出身地,血液型,プロ通算年,年俸,寸評
"山﨑　剛","千葉ロッテマリーンズ","福岡","AB","9","","複数ポジションをこなすユーティリティー。楽天に所属した昨季は春先に左膝の手術を受けた影響もあり、公式戦の出場はゼロに終わった。ロッテと育成契約を結んで迎える今季は、万全の状態を取り戻して支配下復帰を勝ち取りたい。"
"渡邊　佳明","東北楽天ゴールデンイーグルス","神奈川","A","8","2,800万円（推定）","巧みなバットさばきを見せるユーティリティー。昨季は前年を上回る75試合に出場し、打率.279をマーク。2度のサヨナラ打を放つなど、要所で勝負強さを発揮した。今季は攻守でさらなる進化を遂げ、スタメンの機会を増やしたい。"
"村上　泰斗","福岡ソフトバンクホークス","兵庫","A","2","800万円（推定）","スピンの利いたストレートが武器の若手右腕。高卒1年目の昨季は故障の影響もあり、公式戦では登板することができなかった。今季はプロで戦い抜く体づくりに取り組み、実戦経験を重ねていきたい。"
"柳町　達","福岡ソフトバンクホークス","茨城","B","7","11,000万円（推定）","非凡な打撃技術を誇る巧打者。昨季は自身初めて規定打席をクリアし、最高出塁率のタイトルを獲得。チームトップの129安打を放つなど、飛躍のシーズンとなった。今季も攻守でチームを引っ張り、レギュラーの地位を確立したい。"
"毛利　海大","千葉ロッテマリーンズ","福岡","O","1","","切れ味抜群のスライダーが光る即戦力左腕。明治大では4年秋のリーグ戦で4勝0敗、防御率1.13をマーク。エースとしてチームの全勝優勝に貢献した。新人王の獲得を目指し、1年目から開幕ローテーション入りを狙う。"
"宮﨑　颯","千葉ロッテマリーンズ","埼玉","A","4","","威力のあるストレートが武器のサウスポー。ソフトバンクに所属した昨季は、二軍で防御率2.57を記録。7月に支配下契約をつかみ、一軍では2試合に救援登板した。新天地で迎える今季は制球力を磨き、出番を増やしたい。"
"松田　啄磨","東北楽天ゴールデンイーグルス","大阪","B","3","700万円（推定）","キレのある直球に緩いカーブを織り交ぜる右腕。昨季はシーズン序盤に戦線を離脱。5月末には右肘の手術に踏み切り、以降はリハビリに励んだ。育成契約となって迎える今季は、万全のコンディションを取り戻したい。"
"吉川　尚輝","読売ジャイアンツ","岐阜","A","10","20,000万円（推定）","昨季は後半戦に度重なる故障があったものの、4年連続で規定打席に到達。打率.277の成績を残し、2度のサヨナラ打もマークした。股関節の手術を経て臨む今季は状態をいち早く整え、チームを引っ張りたい。"
"吉岡　暖","横浜DeNAベイスターズ","徳島","A","2","340万円（推定）","質の高いボールを操る育成右腕。ルーキーイヤーの昨季は体づくりに励みつつ、二軍で2試合に登板。オフには国外のウインターリーグにも参加した。今季も着実なステップアップを見せ、近い将来の支配下登録に備えたい。"
"Ｊ．ウレーニャ","東北楽天ゴールデンイーグルス","ドミニカ共和国","不明","1","","コンパクトなテイクバックから威力のあるボールを投げ込む助っ人右腕。マーリンズ時代の2017年に14勝をマークするなど、メジャー通算251試合に登板した実績を誇る。NPBの舞台でも実力を示し、チームの期待に応えたい。"
"矢澤　宏太","北海道日本ハムファイターズ","東京","A","4","2,600万円（推定）","身体能力に優れるプレーヤー。3年目の昨季は外野手に専念し、自己最多となる86試合に出場。走塁や守備で度々好プレーを見せ、バットでも打率.247と成長を示した。今季は打力のさらなる強化に励み、レギュラーの座を勝ち取りたい。"
"村田　賢一","福岡ソフトバンクホークス","千葉","O","3","","多彩な球種で凡打を誘う技巧派右腕。昨季は二軍で27試合に登板するも、防御率4.03と振るわず。一軍での登板はゼロに終わり、オフに育成契約を結んだ。今季は球威の向上に励み、支配下枠争いを勝ち抜きたい。"
"宋　家豪","東北楽天ゴールデンイーグルス","台湾","不明","11","","チェンジアップで打者のタイミングを外す台湾出身右腕。昨季は2月に右膝の手術を受け、8月に一軍初昇格。以降は10試合にリリーフ登板した。今季は開幕から腕を振り続け、勝利の方程式の一翼を担いたい。"
"Ｔ．キャベッジ","読売ジャイアンツ","アメリカ","不明","2","","自慢のパワーで長打を量産する助っ人。昨季はいずれもチームトップとなる17本塁打、51打点を記録。後半戦は打率.306をマークするなど、来日1年目から日本の野球に適応してみせた。今季も打線の中軸を担い、チームを勝利に導く。"
"吉村　優聖歩","読売ジャイアンツ","熊本","B","4","380万円（推定）","トルネード投法から鋭く曲がるスライダーを投げ込む育成左腕。高卒3年目の昨季は主に三軍でプレー。8月26日には、東京ドームのマウンドで二軍デビューを飾った。今季はより一層の鍛錬に励み、支配下登録へ前進したい。"
"Ｃ．マッカスカー","東北楽天ゴールデンイーグルス","アメリカ","不明","1","","抜群のスイングスピードを誇る長身助っ人。昨季はマイナーで106試合に出場し、打率.246、22本塁打を記録。5月には念願のメジャーデビューを果たした。NPBでも自慢の打棒を披露し、チームにより多くの得点をもたらす。"
"Ａ．マルティネス","北海道日本ハムファイターズ","キューバ","不明","9","","類まれなパワーを誇る強打の助っ人。昨季は4月に右腕を故障した影響もあり、打率.174、1本塁打と低迷。出場はわずか34試合にとどまった。今季は本来のバッティングを取り戻し、チームの勝利に貢献したい。"
"知念　大成","読売ジャイアンツ","沖縄","O","1","","思い切りの良い打撃が魅力の育成外野手。オイシックス1年目の2024年には、イースタン・リーグの首位打者を獲得。昨季は9本塁打、66打点を記録し、打点王に輝いた。キャンプから積極的にアピールし、早期の支配下昇格を狙う。"
"頓宮　裕真","オリックス・バファローズ","岡山","AB","8","8,500万円（推定）","パンチ力のある打撃が売りのスラッガー。昨季は自己最多の129試合に出場。8月1日の試合で逆転サヨナラ3ランを放つなど、チームトップの54打点をマークした。今季も勝負強い打撃を披露し、より多くの得点をもたらしたい。"
"柴田　獅子","北海道日本ハムファイターズ","福岡","O","2","990万円（推定）","潜在能力の高さを投打で示すホープ。高卒1年目の昨季は投手として一軍デビューを果たし、3先発を含む4試合に登板。打者としては二軍で2本塁打をマークした。今季はさらなる成長を遂げ、プロ初勝利と初アーチを狙う。"
"大勢（翁田　大勢）","読売ジャイアンツ","兵庫","O","5","","剛速球とフォークで打者を封じ込めるリリーバー。セットアッパーを務めた昨季は自己最多の62試合に登板。球団新記録となる54ホールドポイントを挙げ、最優秀中継ぎ投手に輝いた。今季もブルペン陣の柱となり、勝利のバトンをつなぐ。"
"伊藤　光","東北楽天ゴールデンイーグルス","愛知","B","19","","投手の良さを引き出すリードが光るベテラン捕手。DeNAに所属した昨季は二軍で好成績を収めるも、一軍ではわずか6試合の出場にとどまった。楽天にFA移籍して迎える今季は自身の役割を全うし、チームの勝利に貢献する。"
"石川　亮","オリックス・バファローズ","神奈川","O","13","1,500万円（推定）","正確なスローイングで盗塁を阻止するキャッチャー。昨季は故障によって出遅れ、5月に一軍初合流。出場はわずか1試合にとどまり、悔しいシーズンを過ごした。今季はコンディションを万全に整え、チームの戦力となりたい。"
"石見　颯真","福岡ソフトバンクホークス","滋賀","O","2","510万円（推定）","選球眼とバットコントロールに優れた内野手。昨季は二軍で43試合に出場し、打率.264をマーク。4割に迫る出塁率を記録するなど、能力の一端を示した。2年目の今季も実戦でアピールを続け、一軍デビューを狙う。"
"石田　隼都","読売ジャイアンツ","栃木","A","5","510万円（推定）","打者の手元で動くボールを操る育成左腕。昨季は前年に受けたトミー・ジョン手術のリハビリを経て、7月に実戦復帰。三軍のマウンドで順調な回復ぶりを見せた。今季は万全なコンディションで臨み、二軍で好結果を残す。"
"平野　佳寿","オリックス・バファローズ","京都","O","18","5,500万円（推定）","昨季は開幕を一軍で迎えると、4月3日のロッテ戦でNPB通算250セーブを達成。以降はコンディション不良の影響もあり、最終的に登板は3試合にとどまった。コーチ兼任として迎える今季は後輩の指導にあたりつつ、チームを支えたい。"
"中川　皓太","読売ジャイアンツ","大阪","A","11","15,000万円（推定）","スリークオーターからキレのある速球を投げ込むサウスポー。10年目の昨季はリーグ2位の63試合に登板し、36ホールドをマーク。貴重な左のリリーフとしてブルペンを支えた。今季も大車輪の活躍を見せ、チームのリードを守り抜く。"
"竹下　徠空","読売ジャイアンツ","島根","O","2","370万円（推定）","がっしりとした体格から長打を放つ育成内野手。高卒1年目の昨季は主に三軍でプレーし、スケールの大きな打撃を披露。二軍デビュー戦では2打席連続ヒットをマークした。今季は自慢の打棒に磨きをかけ、公式戦初アーチを描きたい。"
"津森　宥紀","福岡ソフトバンクホークス","和歌山","O","7","6,000万円（推定）","球威抜群のストレートが武器のサイドハンド。昨季は被打率.300と不安定な投球が続き、シーズン終盤には右肘の違和感で戦線離脱。22登板にとどまる不本意な1年となった。今季は本来の投球を取り戻し、勝ちパターン入りを狙う。"
"長﨑　蓮汰","福岡ソフトバンクホークス","大阪","A","1","","長身から力強いストレートを投げ込む新人右腕。滋賀学園高では3年春のセンバツで甲子園のマウンドを経験。エースとして初戦に先発し、7回途中3失点の好投を見せた。近い将来の支配下昇格を目指し、まずは体力強化に取り組む。"
"小郷　裕哉","東北楽天ゴールデンイーグルス","岡山","O","8","6,000万円（推定）","俊足巧打が持ち味の外野手。昨季はシーズンを通して打撃の調子が上がらず。3度の登録抹消を経験するなど、前年から出場機会を大きく減らした。今季は本来のバッティングを取り戻し、再びチームの勝利に貢献する。"
"浦田　俊輔","読売ジャイアンツ","長崎","O","2","1,300万円（推定）","抜群の瞬発力を誇る内野手。ルーキーイヤーの昨季は開幕一軍を勝ち取り、22試合に出場。9月中旬からはスタメンに多く起用され、3戦連続マルチヒットも記録した。今季は打撃の確実性を高め、出番の増加につなげたい。"
"海野　隆司","福岡ソフトバンクホークス","岡山","O","7","5,500万円（推定）","昨季は自己最多の105試合に出場し、投手陣を巧みにリード。日本シリーズでは全5戦でスタメンマスクをかぶり、チームの日本一に大きく貢献した。今季は攻守でさらなる存在感を示し、正捕手の座を不動のものとしたい。"
"大栄　利哉","東北楽天ゴールデンイーグルス","福島","O","1","","強肩強打が持ち味の新人捕手。学法石川高では1年秋から4番を務め、3年夏には主将として福島大会ベスト4入りに貢献。昨年のU-18ワールドカップでは5試合に出場し、貴重な経験を積んだ。次世代の主力を目指し、二軍で鍛錬に励む。"
"岩田　将貴","横浜DeNAベイスターズ","福岡","B","6","560万円（推定）","曲がりの大きいスライダーが武器の変則左腕。新天地で迎えた昨季は二軍で42試合に登板。左打者を被打率.181に抑えるなど、持ち味を発揮した。今季は春先から実戦でアピールし、一軍のブルペン陣に加わりたい。"
"岡田　悠希","読売ジャイアンツ","広島","O","5","850万円（推定）","打撃センスに定評がある5年目外野手。昨季は二軍で好成績を収めるも、一軍では打率.167と振るわず。首脳陣に成長をアピールすることができなかった。今季は自身のバッティングを見つめ直し、チームの力になりたい。"
"大谷　輝龍","千葉ロッテマリーンズ","石川","A","3","920万円（推定）","力強いストレートで打者を押し込む若手右腕。2年目の昨季は3月にトミー・ジョン手術を受け、シーズンを通してリハビリに専念した。今季はコンディションを万全に整え、実戦のマウンドで結果を残したい。"
"寺本　聖一","オリックス・バファローズ","広島","A","2","250万円（推定）","思い切りの良いスイングが魅力の育成外野手。ルーキーイヤーの昨季は1月に故障で離脱。二軍での出場は13試合にとどまったものの、6本の長打を含む10安打を記録した。今季は持ち味の打撃をさらに磨き、支配下登録へアピールしたい。"
"野口　智哉","オリックス・バファローズ","奈良","B","5","1,800万円（推定）","鋭いスイングで長打を放つユーティリティー。昨季は5月31日にプロ初のサヨナラ弾を放つも、打率.145と結果を残せず。7月の登録抹消後は再昇格を果たせなかった。今季は打撃の確実性を高め、レギュラー争いに食い込みたい。"
"萩尾　匡也","読売ジャイアンツ","熊本","B","4","1,600万円（推定）","パンチ力のあるバッティングが魅力の外野手。昨季は開幕メンバーに名を連ねるも、打率.174と結果を残せず。5月16日の登録抹消後は、故障もあって一軍に上がれなかった。今季は打撃を鍛え直し、より多くの出番をつかみたい。"
"京田　陽太","横浜DeNAベイスターズ","石川","O","10","6,000万円（推定）","軽快なディフェンスが光る内野手。昨季はシーズンを通して一軍に同行するも、83試合の出場で打率.216に終わった。10年目を迎える今季は攻守に存在感を示し、激しいレギュラー争いを制したい。"
"上茶谷　大河","福岡ソフトバンクホークス","京都","B","8","3,100万円（推定）","多彩な変化球を操る右腕。新天地で迎えた昨季は、春季キャンプ中に右肘の手術を決断。5月に実戦復帰を果たし、一軍ではロングリリーフなどで8試合に登板した。今季は与えられた場面で結果を残し、年間を通してチームの力となりたい。"
"緒方　理貢","福岡ソフトバンクホークス","宮崎","A","6","2,400万円（推定）","俊足を生かした広い守備範囲が魅力の外野手。昨季は開幕一軍メンバーに名を連ね、主に代走や守備固めとして101試合に出場した。今季も与えられた仕事を着実にこなし、指揮官の起用に応えたい。"
"河内　康介","オリックス・バファローズ","大阪","O","3","550万円（推定）","キレのある直球を投げ込む右腕。昨季は前年に受けたトミー・ジョン手術のリハビリに注力。9月の練習試合で復帰を果たし、オフには秋季教育リーグでも登板を重ねた。今季は患部の状態に気を配りつつ、支配下登録へ向けてアピールしたい。"
"廣池　康志郎","千葉ロッテマリーンズ","宮崎","O","2","1,300万円（推定）","球威抜群の直球が自慢の2年目右腕。昨季は二軍で先発登板を重ね、一軍では主に救援として18試合に登板。9月にはプロ初勝利を挙げるなど、充実したシーズンを過ごした。今季はピッチングの安定感を高め、与えられた役割で結果を残す。"
"藤原　聡大","東北楽天ゴールデンイーグルス","三重","A","1","","150キロ台中盤の真っすぐが武器のドラフト1位右腕。花園大では4年秋のリーグ戦で4勝0敗、防御率0.46を記録。39イニングで55奪三振をマークした。プロでも潜在能力の高さを示し、先発ローテーション争いに名乗りを上げる。"
"福島　蓮","北海道日本ハムファイターズ","青森","A","5","2,900万円（推定）","テイクバックの小さなフォームが特徴の長身右腕。昨季は8試合の先発で5勝0敗、防御率2.25を記録。クライマックスシリーズでも8回途中2失点10奪三振の好投を見せた。今季は先発ローテーションに定着し、2ケタ勝利を目指す。"
"河野　竜生","北海道日本ハムファイターズ","徳島","O","7","8,600万円（推定）","切れ味鋭いカットボールが武器の左腕。昨季は6月までに18ホールドを挙げるも、シーズンの経過とともに成績が低迷。8月23日の登録抹消後は二軍での調整が続いた。今季は本来の投球を取り戻し、年間を通して一軍で戦う。"
"川原田　純平","読売ジャイアンツ","岩手","O","6","","守備力が光る育成内野手。ソフトバンクに所属した昨季は、前年に右足首を手術した影響もあって主に三軍でプレー。思うような結果を残せず、オフに戦力外通告を受けた。今季は新天地で持ち味をアピールし、早期の支配下復帰を目指す。"
"近藤　大雅","横浜DeNAベイスターズ","兵庫","AB","3","340万円（推定）","強肩を生かしたスローイングに定評のある育成捕手。高卒2年目の昨季は二軍で9試合に出場。5月に公式戦初安打を記録したものの、ヒットはその1本のみに終わった。今季はさらなる鍛錬に励み、支配下登録に向けて前進したい。"
"安田　尚憲","千葉ロッテマリーンズ","大阪","A","9","4,300万円（推定）","昨季は前年を上回る93試合に出場するも、打率.243と存在感を示せず。2年連続ノーアーチでシーズンを終えるなど、ファンの期待に応えられなかった。今季はバッティングでの成長を示し、中心選手としての信頼を勝ち取る。"
"横川　凱","読売ジャイアンツ","滋賀","B","8","3,000万円（推定）","巧みな投球術が光る左腕。昨季はリリーフ要員としてスタートし、4月にプロ初ホールドを記録。シーズン半ばからは先発登板の機会が増えるも、2勝に終わった。8年目を迎える今季はスタミナを強化し、ローテーションへの定着を目指す。"
"宮崎　竜成","千葉ロッテマリーンズ","徳島","O","2","1,500万円（推定）","優れた打撃センスを持つ若手内野手。1年目の昨季は、二軍で6本塁打と持ち前のパンチ力を発揮。一軍では7月にプロ初安打を放つも、打率.194とプロの壁にぶつかった。今季は春先から実戦で結果を残し、レギュラー争いに加わりたい。"
"三方　陽登","オリックス・バファローズ","兵庫","A","1","","恵まれた体格から鋭い打球を飛ばす育成外野手。高校時代は投手として活躍するも、大学2年時に野手へ転向。昨季はルートインBCリーグの栃木でプレーし、5本塁打を放った。支配下昇格に備え、キャンプからアピールを続けたい。"
"正木　智也","福岡ソフトバンクホークス","東京","O","5","2,500万円（推定）","鋭いスイングで長打を放つ外野手。昨季はスタメン定着を期待されるも、4月中旬に左肩の亜脱臼で離脱。シーズンのほとんどをリハビリに費やした。今季は万全のコンディションで臨み、チームの戦力になりたい。"
"堀　柊那","オリックス・バファローズ","兵庫","B","3","550万円（推定）","逆方向へのバッティングが光る若手捕手。2年目の昨季は、二軍で捕手としてチーム最多の79試合に出場。10月3日には一軍でスタメンマスクをかぶり、プロ初安打を記録した。今季はすべての面で技術向上に励み、出場機会を増やしたい。"
"鈴木　大地","東北楽天ゴールデンイーグルス","静岡","O","15","12,800万円（推定）","高い統率力でチームを支えるベテラン。昨季は移籍後最少となる93試合の出場にとどまるも、代打では打率.294を残した。15年目を迎える今季もここぞの場面で存在感を示し、チームの勝利に貢献する。"
"坂本　達也","読売ジャイアンツ","福岡","A","2","420万円（推定）","安定したスローイングと俊足に定評のある育成捕手。1年目の昨季は夏場から二軍での出番をつかみ、18試合に出場。打率.314をマークするなど、能力の一端を示した。今季も実戦で結果を残し、支配下昇格への足がかりを築きたい。"
"柴田　大地","東北楽天ゴールデンイーグルス","東京","O","5","900万円（推定）","勢いのあるストレートを投げ込む右腕。昨季は夏場に一軍昇格を果たし、6登板で防御率2.08を記録。7月9日にはうれしいプロ初勝利を挙げた。今季はより一層パフォーマンスを高め、開幕からチームの戦力となりたい。"
"曽谷　龍平","オリックス・バファローズ","奈良","A","4","5,500万円（推定）","切れ味鋭いスライダーで勝負する左腕。昨季はプロ初完投を記録するなど、8勝をマーク。後半戦こそ防御率6点台と精彩を欠いたものの、前年を上回る21試合に先発した。今季は年間を通して安定した投球を見せ、投手陣を支えたい。"
"庄司　陽斗","横浜DeNAベイスターズ","宮城","O","3","450万円（推定）","緩急を生かした投球が持ち味のサウスポー。昨季は3月に支配下登録を勝ち取るも、その後は思うようにアピールできず。一軍での登板はゼロに終わり、オフに再び育成契約を結んだ。今季は球威の向上に取り組み、実戦で結果を残したい。"
"Ｆ．グズマン","読売ジャイアンツ","ドミニカ共和国","不明","2","","長い腕を生かして角度のついた直球を投げ下ろす左腕。昨季は球団主催のトライアウトで合格を勝ち取り、8月に巨人と育成契約。翌月には三軍戦のマウンドにも上がった。今季は制球を安定させつつ、多くの経験を積みたい。"
"山岡　泰輔","オリックス・バファローズ","広島","A","10","8,000万円（推定）","縦に割れるスライダーが武器の右腕。リリーフに専念した昨季は5月に一軍昇格。最終的に自己最多の41試合に登板し、13ホールドを記録した。FA権を行使せず残留を決めた今季は、先発として7年ぶりの2ケタ勝利を狙う。"
"山口　廉王","オリックス・バファローズ","東京","O","2","550万円（推定）","恵まれた体格から力強い直球を投げ込む右腕。高卒1年目の昨季は二軍で9試合に登板し、防御率2.83をマーク。シーズン最終戦で一軍デビューを果たすなど、貴重な経験を積んだ。今季は持ち球の精度を磨き、さらなる飛躍を遂げたい。"
"盛島　稜大","福岡ソフトバンクホークス","沖縄","B","4","360万円（推定）","恵まれた体格を誇る育成キャッチャー。昨季はファーム非公式戦で多くの本塁打を放つも、二軍では打率.111とアピールできなかった。今季は攻守でより一層の成長を遂げ、支配下登録へ向けて前進したい。"
"宮崎　一樹","北海道日本ハムファイターズ","東京","O","3","990万円（推定）","パワーとスピードを兼ね備える外野手。昨季は二軍で85試合に出場し、打率.222、2本塁打を記録。一軍ではプロ初タイムリーを放つも、5試合の出場にとどまった。今季は才能を開花させ、ポジション争いに割って入りたい。"
"Ｌ．ロドリゲス","福岡ソフトバンクホークス","ドミニカ共和国","不明","5","","球威のあるストレートで強気に攻める育成右腕。昨季はファーム非公式戦で好成績をマークし、二軍では9試合に登板。7月には一軍の練習に参加し、貴重な経験を積んだ。今季は持ち球の精度を磨き、念願の支配下登録をつかみたい。"
"Ａ．コックス","横浜DeNAベイスターズ","アメリカ","不明","1","","高いリリースポイントからキレのあるボールを投げ込む左腕。メジャー初昇格を果たした2023年には、デビューから打者39人連続で安打を許さない快投を披露した。新天地でも任された役割を全うし、チームの勝利に貢献したい。"
"吉川　悠斗","千葉ロッテマリーンズ","埼玉","A","4","500万円（推定）","直球とチェンジアップに自信を持つ育成出身左腕。3年目の昨季は二軍でアピールを続け、7月末に支配下選手へ昇格。8月21日には一軍で先発マウンドに上がり、プロ初勝利を手にした。今季も鍛錬に励み、より多くの出番をつかみたい。"
"横山　聖哉","オリックス・バファローズ","長野","不明","3","650万円（推定）","強烈な打球を連発する若手内野手。高卒2年目の昨季は、二軍で主に遊撃手として96試合に出場。後半戦は打率.252、2本塁打と一定の手応えをつかんだ。今季は攻守に成長を見せ、首脳陣へアピールしたい。"
"Ｃ．ラドニー","千葉ロッテマリーンズ","ドミニカ共和国","不明","1","","ドミニカ共和国出身の若手育成サウスポー。2022年にレイズとマイナー契約を締結。昨季までドミニカン・サマーリーグでプレーし、実戦経験を重ねた。新たな環境で鍛錬に励み、潜在能力を開花させたい。"
"孫　易磊","北海道日本ハムファイターズ","台湾","不明","3","","剛速球と落ちる変化球が武器の台湾出身右腕。昨季は5月に支配下登録を勝ち取り、一軍で9試合に登板。リリーフとして4ホールドを挙げ、後半戦には先発マウンドを経験した。来日3年目の今季はポテンシャルを開花させ、飛躍を遂げたい。"
"Ｌ．リン","北海道日本ハムファイターズ","台湾","不明","1","","パンチ力のある打撃が光る台湾出身捕手。昨季までは主にマイナーでプレーし、昨秋には日本ハムのキャンプにテスト生として参加。今春のWBCでは台湾代表で扇の要を担った。新天地で潜在能力を開花させ、チームの戦力となりたい。"
"高梨　雄平","読売ジャイアンツ","埼玉","O","10","15,000万円（推定）","サイドハンドからキレのあるスライダーを投じる左腕。昨季は投球回を上回る四死球を与えるなど制球に苦しみ、プロ入り後最少となる21登板に終わった。今季は首脳陣の信頼を取り戻し、チームの勝利に貢献したい。"
"佐藤　直樹","東北楽天ゴールデンイーグルス","兵庫","AB","7","2,700万円（推定）","走攻守で高い能力を発揮する外野手。昨季は自己最多の104試合に出場し、5本塁打をマーク。8月以降は打率.356を記録するなど、シーズン終盤に存在感を高めた。今季は春先からアピールを見せ、新天地でレギュラー獲得を目指す。"
"笹川　吉康","福岡ソフトバンクホークス","神奈川","A","6","1,000万円（推定）","豪快なスイングで打球を飛ばす若手外野手。昨季は二軍でいずれもリーグトップの12本塁打、64打点を記録。一軍では26試合に出場するも、打率.213と振るわなかった。今季は打撃の確実性を高め、ブレークを遂げたい。"
"鈴木　大和","読売ジャイアンツ","北海道","O","5","440万円（推定）","類まれな俊足が光る外野手。昨季は二軍で存在感を示し、6月に支配下選手へ昇格。その後一軍に登録されるも、4試合の出場に終わった。再び育成契約を結んで迎える今季は、自慢の脚力を存分に発揮してアピールを続けたい。"
"田中　千晴","東北楽天ゴールデンイーグルス","大阪","O","4","","落差のあるフォークが武器の右腕。前年に受けた手術の影響で出遅れた昨季は、二軍で36試合に登板。防御率1.51と安定感を示すも、一軍昇格は果たせなかった。新天地で迎える今季は春先からアピールを重ね、チームの力になりたい。"
"浅野　翔吾","読売ジャイアンツ","香川","A","4","1,700万円（推定）","将来の主軸を期待される若手外野手。昨季は春先から打撃不振に陥り、一時は三軍落ちも経験。6月にはケガで戦線離脱を強いられるなど、不本意なシーズンを過ごした。今季はバッティングを鍛え直し、周囲の期待に応えたい。"
"石上　泰輝","横浜DeNAベイスターズ","徳島","A","3","1,500万円（推定）","パンチ力のある打撃と高い守備力が売りの内野手。昨季は後半戦で打率.307、2本塁打の好成績をマーク。クライマックスシリーズでも3ランを放つなど、ブレークの兆しを見せた。今季は開幕から結果を残し、レギュラー獲得を目指す。"
"玉井　大翔","北海道日本ハムファイターズ","北海道","A","10","6,600万円（推定）","右打者の懐をえぐるシュートが武器のリリーフ右腕。2年ぶりに一軍マウンドへ上がった昨季は40試合に登板。17ホールドをマークし、復活を印象づけた。今季もあらゆる場面で起用に応え、チームに流れを呼び込む。"
"内藤　鵬","オリックス・バファローズ","愛知","A","4","550万円（推定）","恵まれた体格から放たれる長打が魅力の若手内野手。昨季は二軍でチーム最多の122試合に出場するも、打率.227と低迷。3本塁打にとどまるなど、自慢の打棒が鳴りを潜めた。4年目の今季は成長をアピールし、一軍の舞台で躍動する。"
"武田　陸玖","横浜DeNAベイスターズ","山形","B","3","560万円（推定）","伸びのある速球を投げ込む若手左腕。投打二刀流で臨んだ昨季は二軍で打率.194、防御率3.75を記録。9月からは投手に専念し、10月の一軍デビュー戦では白星を挙げた。今季は変化球の質を磨き、飛躍への足がかりを築きたい。"
"太田　椋","オリックス・バファローズ","大阪","B","8","7,000万円（推定）","鋭いスイングでライナーを飛ばす内野手。昨季は自己最多の113試合に出場し、初の規定打席に到達。3、4月度の月間MVPを受賞し、トータルでは打率.283、10本塁打を記録した。今季は長打力をさらに磨き、打線をけん引したい。"
"茨木　佑太","千葉ロッテマリーンズ","北海道","A","2","270万円（推定）","強気のピッチングで打者に立ち向かう育成右腕。高卒1年目の昨季は体づくりに励みつつ、8月以降は二軍で5試合に登板。オフには秋季教育リーグにも参加し、実戦経験を積んだ。今季はストレートに磨きをかけ、首脳陣へアピールを続ける。"
"植田　将太","千葉ロッテマリーンズ","大阪","AB","7","600万円（推定）","守備力に定評のある育成出身捕手。昨季は9月23日に唐川の白星をアシストし、初のお立ち台を経験。同月30日にはプロ初ヒットを放つなど、手応えをつかんでシーズンを終えた。今季は春先から結果を残し、一軍での出番を増やしたい。"
"伊藤　優輔","福岡ソフトバンクホークス","東京","O","6","900万円（推定）","カットボールが武器の右腕。新天地で迎えた昨季は、二軍で先発調整を続けるも振るわず。5月下旬のリリーフ転向後は本来の投球を取り戻し、シーズン終盤には一軍でも好投した。今季はキャンプからアピールし、出番を増やしたい。"
"西野　真弘","オリックス・バファローズ","東京","O","12","5,000万円（推定）","シュアな打撃が持ち味の内野手。11年目の昨季は75試合に出場し、打率.287を記録。いずれも自己最多の7本塁打、35打点をマークするなど、パンチ力も見せつけた。今季も磨き抜かれたバッティングで、チームを勝利に導く。"
"森　友哉","オリックス・バファローズ","大阪","A","13","40,000万円（推定）","昨季はオープン戦で右脇腹を痛めて出遅れ、7月には右太もも裏の筋損傷で再び離脱。一軍での出場は50試合にとどまり、打率.205、自己最少の1本塁打に終わった。今季はコンディションを整え、年間を通してチームに貢献したい。"
"田内　真翔","横浜DeNAベイスターズ","広島","O","2","520万円（推定）","高い野球センスを誇る若手内野手。高卒1年目の昨季は二軍で80試合に出場。シーズン終盤には一軍デビューを果たし、プロ2打席目で初安打を放った。今季は攻守でプレーの安定感を高め、首脳陣に成長をアピールしたい。"
"成瀬　脩人","横浜DeNAベイスターズ","愛知","不明","1","","軽快なフットワークを生かした守備が魅力の内野手。NTT西日本では1年目からレギュラーとして活躍。昨年は主に上位の打順を任され、都市対抗では猛打賞も記録した。自身の長所を生かし、ルーキーイヤーから一軍に定着したい。"
"富山　紘之進","千葉ロッテマリーンズ","大阪","O","3","280万円（推定）","強肩が売りの育成キャッチャー。2年目の昨季は二軍で45試合に出場し、打率.209を記録。8月には公式戦初本塁打を放つなど、順調なステップアップを見せた。今季もさらなる成長を示し、支配下昇格に向けてアピールしたい。"
"甲斐　拓也","読売ジャイアンツ","大分","O","16","30,000万円（推定）","移籍1年目の昨季は開幕から主戦捕手として躍動するも、徐々に出場機会が減少。8月下旬にはケガで戦列を離れるなど、悔しさの残るシーズンだった。今季は年間を通して扇の要を担い、チームをリーグ優勝に導きたい。"
"岸田　行倫","読売ジャイアンツ","兵庫","A","9","7,000万円（推定）","安定した打撃と強肩が自慢のキャッチャー。昨季はシーズン中盤からスタメンの機会が増加。打率.293、8本塁打とバッティングで存在感を示し、クリーンアップも多く務めた。今季も攻守にわたる活躍を見せ、チームを支えたい。"
"菊地　吏玖","千葉ロッテマリーンズ","北海道","A","4","2,000万円（推定）","大きく落ちるフォークが武器の右腕。3年目の昨季は前年を上回る21試合に登板するも、防御率5.32と結果を残せず。一軍と二軍の行き来を繰り返す不本意なシーズンを送った。今季は自身の投球を見つめ直し、チームの勝利に貢献する。"
